Id_Articulo|Rubro|Familia|Marca|Articulo|familiamarca 
1|AUDIO Y VIDEO|REPRODUCTOR DVD|Philips|Philips DVP642 Progressive-Scan|REPRODUCTOR DVD:Philips
2|AUDIO Y VIDEO|REPRODUCTOR DVD|CyberHome|CyberHome CH-DVD 300S Progressive-Scan|REPRODUCTOR DVD:CyberHome
3|AUDIO Y VIDEO|REPRODUCTOR DVD|Toshiba|Toshiba SD-V392 DVD/VCR|REPRODUCTOR DVD:Toshiba
4|AUDIO Y VIDEO|REPRODUCTOR DVD|Panasonic|Panasonic DVD-S47S Progressive Scan |REPRODUCTOR DVD:Panasonic
5|AUDIO Y VIDEO|REPRODUCTOR DVD|Panasonic|"DVD Portatil Panasonic DVD-LS50 7"" "|REPRODUCTOR DVD:Panasonic
6|AUDIO Y VIDEO|REPRODUCTOR DVD|Panasonic|Panasonic DVD-F87K 5-Disc HD-Compatible DVD/CD|REPRODUCTOR DVD:Panasonic
7|AUDIO Y VIDEO|REPRODUCTOR DVD|Initial IDM|"Initial IDM-1731 Portatil con  7"" LCD"|REPRODUCTOR DVD:Initial IDM
8|AUDIO Y VIDEO|REPRODUCTOR DVD|Sony|Sony DVP-NS575P/B Progressive Scan |REPRODUCTOR DVD:Sony
9|AUDIO Y VIDEO|TELEVISORES|Toshiba|"Toshiba MD13P1 13"" TV / DVD "|TELEVISORES:Toshiba
10|AUDIO Y VIDEO|TELEVISORES|Casio|"Casio EV-570 8"" TV portatil"|TELEVISORES:Casio
11|AUDIO Y VIDEO|TELEVISORES|Sony|"Sony ACN-5503 5"" TV Portatil  con radio AM/FM"|TELEVISORES:Sony
12|AUDIO Y VIDEO|TELEVISORES|Sharp|"Sharp LC15B2UA AQUOS 15"" LCD Pantalla plana"|TELEVISORES:Sharp
13|AUDIO Y VIDEO|TELEVISORES|Panasonic|"Panasonic TH-42PX25U/P 42"" Alta definicion"|TELEVISORES:Panasonic
14|AUDIO Y VIDEO|TELEVISORES|Sharp|"Sharp 32-C240 32"" "|TELEVISORES:Sharp
15|AUDIO Y VIDEO|TELEVISORES|Philips|Philips 6615LE 29''|TELEVISORES:Philips
16|AUDIO Y VIDEO|TELEVISORES|Zenith|"Zenith L15V26D / 15"" / 1024x768 "|TELEVISORES:Zenith
17|AUDIO Y VIDEO|TELEVISORES|RCA|"RCA 32V430T 32"" "|TELEVISORES:RCA
