Id_Ubicacion|Ubigeo|Distrito|Provincia|Departamento|Zona|departamentozona 
1|070101|CALLAO|PROV. CONST. DEL CALLAO|PROV. CONST. DEL CALLAO|Centro|PROV. CONST. DEL CALLAO:Centro
2|070102|BELLAVISTA|PROV. CONST. DEL CALLAO|PROV. CONST. DEL CALLAO|Centro|PROV. CONST. DEL CALLAO:Centro
3|070103|CARMEN DE LA LEGUA REYNOSO|PROV. CONST. DEL CALLAO|PROV. CONST. DEL CALLAO|Centro|PROV. CONST. DEL CALLAO:Centro
4|070104|LA PERLA|PROV. CONST. DEL CALLAO|PROV. CONST. DEL CALLAO|Centro|PROV. CONST. DEL CALLAO:Centro
5|070105|LA PUNTA|PROV. CONST. DEL CALLAO|PROV. CONST. DEL CALLAO|Centro|PROV. CONST. DEL CALLAO:Centro
6|070106|VENTANILLA|PROV. CONST. DEL CALLAO|PROV. CONST. DEL CALLAO|Centro|PROV. CONST. DEL CALLAO:Centro
7|150101|LIMA|LIMA|LIMA|Centro|LIMA:Centro
8|150102|ANCON|LIMA|LIMA|Centro|LIMA:Centro
9|150103|ATE|LIMA|LIMA|Centro|LIMA:Centro
10|150104|BARRANCO|LIMA|LIMA|Centro|LIMA:Centro
11|150105|BREÑA|LIMA|LIMA|Centro|LIMA:Centro
12|150106|CARABAYLLO|LIMA|LIMA|Centro|LIMA:Centro
13|150107|CHACLACAYO|LIMA|LIMA|Centro|LIMA:Centro
14|150108|CHORRILLOS|LIMA|LIMA|Centro|LIMA:Centro
15|150109|CIENEGUILLA|LIMA|LIMA|Centro|LIMA:Centro
16|150110|COMAS|LIMA|LIMA|Centro|LIMA:Centro
17|150111|EL AGUSTINO|LIMA|LIMA|Centro|LIMA:Centro
18|150112|INDEPENDENCIA|LIMA|LIMA|Centro|LIMA:Centro
19|150113|JESUS MARIA|LIMA|LIMA|Centro|LIMA:Centro
20|150114|LA MOLINA|LIMA|LIMA|Centro|LIMA:Centro
21|150115|LA VICTORIA|LIMA|LIMA|Centro|LIMA:Centro
22|150116|LINCE|LIMA|LIMA|Centro|LIMA:Centro
